Origin,x1,y1,Destination,x2,y2,Travel Time (min),Total Distance (miles)
1,43.07137151,-83.72854989,1,43.016299427739,-83.69105820587,13,5.2
2,43.0711208,-83.72161168,2,43.016299427739,-83.69105820587,12,5.4
3,43.07363111,-83.71838773,3,43.016299427739,-83.69105820587,11,5.0
4,43.07355982,-83.71012981,4,43.016299427739,-83.69105820587,10,4.4
5,43.0736404,-83.70016043,5,43.016299427739,-83.69105820587,10,4.3
6,43.07022455,-83.70991022,6,43.016299427739,-83.69105820587,10,4.1
7,43.07019641,-83.70010655,7,43.016299427739,-83.69105820587,10,4.1
8,43.06405083,-83.72863025,8,43.016299427739,-83.69105820587,N.A.,N.A.
9,43.06416702,-83.72105477,9,43.016299427739,-83.69105820587,10,4.3
10,43.06412971,-83.71609711,10,43.016299427739,-83.69105820587,9,4.1
11,43.06480858,-83.70993512,11,43.016299427739,-83.69105820587,9,3.8
12,43.06763553,-83.70007696,12,43.016299427739,-83.69105820587,10,3.9
13,43.06382964,-83.69968754,13,43.016299427739,-83.69105820587,N.A.,N.A.
14,43.05736948,-83.73203263,14,43.0436067943,-83.71322017588,4,2.0
15,43.05788656,-83.72613556,15,43.0436067943,-83.71322017588,4,1.6
16,43.05740074,-83.71859541,16,43.0436067943,-83.71322017588,4,1.4
17,43.05757493,-83.71173867,17,43.0436067943,-83.71322017588,3,1.2
18,43.0575137,-83.70730537,18,43.0436067943,-83.71322017588,3,1.3
19,43.05759584,-83.7022993,19,43.016299427739,-83.69105820587,7,3.2
20,43.05760577,-83.69679271,20,43.016299427739,-83.69105820587,N.A.,N.A.
21,43.05214766,-83.72840663,21,43.0436067943,-83.71322017588,N.A.,N.A.
22,43.05223698,-83.71845445,22,43.0436067943,-83.71322017588,3,1.1
23,43.04841029,-83.71594855,23,43.0436067943,-83.71322017588,10,0.5
24,43.04832855,-83.72833538,24,43.0436067943,-83.71322017588,3,1.1
25,43.04837546,-83.72089316,25,43.0436067943,-83.71322017588,2,0.8
26,43.04956158,-83.70605123,26,43.0436067943,-83.71322017588,3,0.9
27,43.05189349,-83.69920384,27,43.054632741138,-83.68490300287,3,0.9
28,43.04236282,-83.73036806,28,43.0436067943,-83.71322017588,3,1.0
29,43.04227934,-83.72467648,29,43.0436067943,-83.71322017588,2,0.7
30,43.04273778,-83.71765026,30,43.0436067943,-83.71322017588,N.A.,N.A.
31,43.03656605,-83.72454643,31,43.0436067943,-83.71322017588,N.A.,N.A.
32,43.03500662,-83.71663287,32,43.0436067943,-83.71322017588,2,1.0
33,43.04513856,-83.70904137,33,43.0436067943,-83.71322017588,8,0.4
34,43.04129819,-83.70891645,34,43.0436067943,-83.71322017588,9,0.4
35,43.03739891,-83.70881287,35,43.017059300496,-83.6871113452,7,2.1
36,43.03345574,-83.70872324,36,43.017059300496,-83.6871113452,6,1.8
37,43.04401176,-83.69789402,37,43.054632741138,-83.68490300287,4,1.4
38,43.04212651,-83.70118414,38,43.054632741138,-83.68490300287,5,1.7
39,43.03791884,-83.6991061,39,43.017059300496,-83.6871113452,7,2.0
